!Development of a reduced n-dodecane-PAH mechanism and its Application for n-dodecane Soot Predictions
!Hu Wang, Youngchul Ra, Ming Jia and Rolf. D. Reitz
!Submitted to Fuel
!100 species and 432 reactions
 c12h26          2   789.160     7.060     0.000    22.750     1.000
 o2              1   107.400     3.458     0.000     1.600     3.800
 n2              1    97.530     3.621     0.000     1.760     4.000
 co2             1   244.000     3.763     0.000     2.650     2.100
 h2o             2   572.400     2.605     1.844     0.000     4.000
 co              1    98.100     3.650     0.000     1.950     1.800
 h2              1    38.000     2.920     0.000     0.790   280.000
 oh              1    80.000     2.750     0.000     0.000     0.000
 h2o2            2   107.400     3.458     0.000     0.000     3.800
 ho2             2   107.400     3.458     0.000     0.000     1.000
 h               0   145.000     2.050     0.000     0.000     0.000
 o               0    80.000     2.750     0.000     0.000     0.000
 ch3o            2   417.000     3.690     1.700     0.000     2.000
 ch2o            2   498.000     3.590     0.000     0.000     2.000
 hco             2   498.000     3.590     0.000     0.000     0.000
 ch2             1   144.000     3.800     0.000     0.000     0.000
 ch3             1   144.000     3.800     0.000     0.000     0.000
 ch4             2   141.400     3.746     0.000     2.600    13.000
 c2h2            1   265.300     3.721     0.000     0.000     2.500
 c2h3            2   265.300     3.721     0.000     0.000     1.000
 c12h25          2   789.160     7.060     0.000    22.750     1.000
 c12h25o2        2   789.160     7.060     0.000    22.750     1.000
 c12ket          2   789.160     7.060     0.000    22.750     1.000
 c10h22          2   540.000     7.085     0.000     0.000     1.000
 c10h21          2   704.920     6.690     0.000    19.100     1.000
 c10h21o2        2   704.920     6.690     0.000    19.100     1.000
 c10ket2-1       2   704.920     6.690     0.000    19.100     1.000
 c8h16           2   485.600     6.440     0.300     0.000     1.000
 c8h15           2   485.600     6.440     0.300     0.000     1.000
 c7h15-2         2   459.600     6.253     0.000     0.000     1.000
 c7h15o2         2   561.000     6.317     1.700     0.000     1.000
 nc7ket23        2   581.300     6.506     2.000     0.000     1.000
 c7h14ooh        2   561.000     6.317     1.700     0.000     1.000
 c7h15o2h        2   561.000     6.317     1.700     0.000     1.000
 o2c7h14ooh      2   600.600     7.229     1.800     0.000     1.000
 c7h15cho        2   581.300     6.506     2.000     0.000     1.000
 c7h15co         2   534.500     6.240     2.580    15.000     1.000
 c6h13cho        2   581.300     6.506     2.000     0.000     1.000
 c6h13co         2   581.300     6.506     2.000     0.000     1.000
 c6h13           2   489.224     5.349     0.000     0.000     0.000
 c6h13o2         2   541.500     5.674     1.800     0.000     1.000
 c6h13o          2   541.500     5.674     1.800     0.000     1.000
